model_alias,protocol,source_dataset,target_dataset,method,tier,training_budget,calibration_scope,diagnostic_only,selected_parameter,metric_status,failure_reason,negative_budget_ratio,negative_budget_seed,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_encoder_train_correct,num_encoder_train_hard_hallucination,num_encoder_train_hard_hallucination_available,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,final-hidden linear probe,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,C=0.1,passed,,0.5,20260506,0.48197618850114066,0.3371247907660428,0.6198849633222536,0.8732977253663592,0.8105777070103055,0.9280912532759893,0.4646459325358363,0.3076923076923077,1.0,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,output-confidence,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,negative_top2_margin,passed,,0.5,20260506,0.14786887392640521,0.09502317979081662,0.23101887437142477,0.8740563477574382,0.843572807377874,0.9019078406214089,0.16248442234974353,0.057692307692307696,0.26298909557408595,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_repope,repope,repope,HALP-lite,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,C=1.0,passed,,0.5,20260506,0.4836494400542265,0.39584418795254217,0.5646052946321507,0.8194787092317561,0.7557918794402229,0.8821367812054574,0.18600174587014226,0.0,1.0,1611,1559,52,3833,69,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,MIND-main,tierA,50pct_hard_negatives,source_calibration,False,rho=0.009274823873345717,passed,,0.5,20260506,0.5149027918459528,0.4686019275091132,0.5576632886805544,0.8891203892309663,0.8750895643739814,0.903901901725423,0.12840044449762927,0.0,0.20851326341764342,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,MIND-param,tierA,50pct_hard_negatives,source_calibration,False,single_vmf,passed,,0.5,20260506,0.21677394607801226,0.1411248626911575,0.3154270285422499,0.8972681666336877,0.8529136390242699,0.9350249228009723,0.22479772900673772,0.11320754716981132,0.6835286859962986,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,logistic(z),tierA,50pct_hard_negatives,source_calibration,False,C=0.1,passed,,0.5,20260506,0.3082864242603227,0.2084231085723078,0.40759621893244774,0.8893182638250323,0.8335925732192172,0.9337495644175848,0.22626089133765748,0.0,0.8426896977174584,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,final-hidden linear probe,tierA,same_constraint_linear_or_cached,source_calibration,False,C=0.1,passed,,0.5,20260506,0.33518262638227087,0.2226685719495802,0.45168248917826015,0.8679419878248926,0.808283178804483,0.9197770333069967,0.27101256774840154,0.18867924528301888,1.0,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,output-confidence,tierA,same_constraint_linear_or_cached,source_calibration,False,negative_top2_margin,passed,,0.5,20260506,0.14398629265737156,0.07678828007691003,0.2263319293731625,0.8349376695028692,0.8023669591185497,0.8662496812000728,0.14741941717302937,0.07547169811320754,0.3849475632325725,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,HALP-lite,tierA,same_constraint_linear_or_cached,source_calibration,False,C=1.0,passed,,0.5,20260506,0.41554577537441423,0.32913423701358163,0.48968378471491425,0.7723918382549787,0.7064589267479763,0.8339761922912554,0.12675387325417758,0.0,1.0,1674,1621,53,3833,69,138,126,0
llava-onevision-qwen2-7b-ov-hf,repope_to_pope,repope,pope,MIND-main,tierA,50pct_hard_negatives,oracle_target_calibration,True,rho=0.006609038520227808,passed,,0.5,20260506,0.5514563106796116,0.5380756227041822,0.5641552648561072,0.8574953732264035,0.8466464922783055,0.8682605882806547,0.1029126213592233,0.0,0.2850092535471931,1674,1621,53,3833,69,138,126,0
