epoch,loss,model_alias,objective
6.0,5.513357561168862,gemma-4-12b-it,supcon
7.0,5.511995804190237,gemma-4-12b-it,supcon
8.0,5.51421611875196,gemma-4-12b-it,supcon
9.0,5.511061768547747,gemma-4-12b-it,supcon
10.0,5.509526794331529,gemma-4-12b-it,supcon
11.0,5.511471005825693,gemma-4-12b-it,supcon
12.0,5.513487608217475,gemma-4-12b-it,supcon
13.0,5.514005022463591,gemma-4-12b-it,supcon
14.0,5.5142140053586415,gemma-4-12b-it,supcon
15.0,5.505433686042709,gemma-4-12b-it,supcon
16.0,5.504965319043418,gemma-4-12b-it,supcon
17.0,5.498551732002692,gemma-4-12b-it,supcon
18.0,5.499899096473005,gemma-4-12b-it,supcon
19.0,5.498018246590094,gemma-4-12b-it,supcon
20.0,5.492083196735701,gemma-4-12b-it,supcon
1.0,12.533689762995794,gemma-4-12b-it,proxy_anchor
2.0,11.840457065288836,gemma-4-12b-it,proxy_anchor
3.0,11.404885617386936,gemma-4-12b-it,proxy_anchor
4.0,11.591210048254517,gemma-4-12b-it,proxy_anchor
5.0,11.518022084315884,gemma-4-12b-it,proxy_anchor
6.0,10.912827870040434,gemma-4-12b-it,proxy_anchor
7.0,10.383657828621242,gemma-4-12b-it,proxy_anchor
8.0,11.976173326881435,gemma-4-12b-it,proxy_anchor
9.0,11.25453146803738,gemma-4-12b-it,proxy_anchor
10.0,10.604604446768361,gemma-4-12b-it,proxy_anchor
11.0,8.77502847626855,gemma-4-12b-it,proxy_anchor
12.0,10.554850277214943,gemma-4-12b-it,proxy_anchor
13.0,8.50507030997388,gemma-4-12b-it,proxy_anchor
14.0,6.799586213153342,gemma-4-12b-it,proxy_anchor
15.0,13.18318556718603,gemma-4-12b-it,proxy_anchor
16.0,10.23670633309661,gemma-4-12b-it,proxy_anchor
17.0,10.213318137101904,gemma-4-12b-it,proxy_anchor
18.0,8.710017021842624,gemma-4-12b-it,proxy_anchor
19.0,6.290230766666374,gemma-4-12b-it,proxy_anchor
20.0,11.333056433942406,gemma-4-12b-it,proxy_anchor
1.0,0.9529279039158085,qwen3.5-4b,bce
2.0,0.4527364455587496,qwen3.5-4b,bce
3.0,0.3804365333502855,qwen3.5-4b,bce
4.0,0.3511327534187131,qwen3.5-4b,bce
5.0,0.355974433867912,qwen3.5-4b,bce
6.0,0.35872775316238403,qwen3.5-4b,bce
7.0,0.3492939450391909,qwen3.5-4b,bce
8.0,0.27783587841483637,qwen3.5-4b,bce
9.0,0.37729878711506604,qwen3.5-4b,bce
10.0,0.2664700683539476,qwen3.5-4b,bce
11.0,0.3269595741256466,qwen3.5-4b,bce
12.0,0.27817356295701934,qwen3.5-4b,bce
13.0,0.2644066987483482,qwen3.5-4b,bce
14.0,0.3426509749114029,qwen3.5-4b,bce
15.0,0.3701528916514017,qwen3.5-4b,bce
16.0,0.28058223220391004,qwen3.5-4b,bce
17.0,0.20959444210781314,qwen3.5-4b,bce
18.0,0.24262315240817342,qwen3.5-4b,bce
19.0,0.2511549474504905,qwen3.5-4b,bce
20.0,0.25958198260485643,qwen3.5-4b,bce
1.0,5.516041844840942,qwen3.5-4b,supcon
