model_alias,objective,selected_k,selected_on,selection_metric,selection_pr_auc,selection_roc_auc,num_bank_correct,metric_status,dataset_family,split,metric_split,readout,k,bank_size,pr_auc,roc_auc
qwen3.5-4b,supcon,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,4,1548,0.052318014269460436,0.6684812953657174
qwen3.5-4b,supcon,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,8,1548,0.036826868393852144,0.7191513121161363
qwen3.5-4b,supcon,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,16,1548,0.03344341626205643,0.7505583472920156
qwen3.5-4b,supcon,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,32,1548,0.031713149937903556,0.7537688442211056
qwen3.5-4b,proxy_anchor,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,1,1548,0.09093749577548282,0.9316024567280848
qwen3.5-4b,proxy_anchor,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,2,1548,0.1309312344949463,0.9362088218872139
qwen3.5-4b,proxy_anchor,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,4,1548,0.13700212952855664,0.942071468453378
qwen3.5-4b,proxy_anchor,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,8,1548,0.17432211529673886,0.9431881630374093
qwen3.5-4b,proxy_anchor,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,16,1548,0.185503797913042,0.9459798994974875
qwen3.5-4b,proxy_anchor,,,,,,1548,passed,repope,cal,cal,Diag-kNN-tuned,32,1548,0.18786795988544788,0.9540759352317141
qwen3.5-9b,bce,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,1,1554,0.1382617759652302,0.9197823303457107
qwen3.5-9b,bce,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,2,1554,0.14383698166709358,0.9240076824583866
qwen3.5-9b,bce,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,4,1554,0.14518326312012528,0.9313060179257363
qwen3.5-9b,bce,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,8,1554,0.15630899303299023,0.9386683738796415
qwen3.5-9b,bce,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,16,1554,0.17360379177962149,0.9458386683738796
qwen3.5-9b,bce,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,32,1554,0.19107839412854724,0.9516645326504481
qwen3.5-9b,supcon,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,1,1554,0.20789299861511712,0.7683738796414853
qwen3.5-9b,supcon,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,2,1554,0.2059014866917038,0.7533290653008963
qwen3.5-9b,supcon,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,4,1554,0.20070282380438842,0.7453905249679897
qwen3.5-9b,supcon,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,8,1554,0.20126604608684934,0.7594750320102432
qwen3.5-9b,supcon,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,16,1554,0.20928955136862964,0.8145326504481434
qwen3.5-9b,supcon,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,32,1554,0.20453405044510903,0.8110115236875799
qwen3.5-9b,proxy_anchor,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,1,1554,0.5296023332716574,0.9631882202304738
qwen3.5-9b,proxy_anchor,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,2,1554,0.5452968564016342,0.9632522407170294
qwen3.5-9b,proxy_anchor,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,4,1554,0.5492337462458854,0.9716389244558259
qwen3.5-9b,proxy_anchor,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,8,1554,0.5453420706027948,0.9765044814340589
qwen3.5-9b,proxy_anchor,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,16,1554,0.534987741305747,0.9805377720870679
qwen3.5-9b,proxy_anchor,,,,,,1554,passed,repope,cal,cal,Diag-kNN-tuned,32,1554,0.6037690789486135,0.9827144686299616
phi-4-multimodal-instruct,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,1,1496,0.1246769335821189,0.8968970814132105
phi-4-multimodal-instruct,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,2,1496,0.13410615589644442,0.8997235023041474
phi-4-multimodal-instruct,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,4,1496,0.12566919073051552,0.900768049155146
phi-4-multimodal-instruct,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,8,1496,0.13621182774335222,0.9100460829493087
phi-4-multimodal-instruct,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,16,1496,0.14213560829473018,0.911705069124424
phi-4-multimodal-instruct,bce,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,32,1496,0.14271777548881237,0.909800307219662
phi-4-multimodal-instruct,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,1,1496,0.07526370774961401,0.7633794162826422
phi-4-multimodal-instruct,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,2,1496,0.08919739561203974,0.7693394777265744
phi-4-multimodal-instruct,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,4,1496,0.12425596415078191,0.7552073732718894
phi-4-multimodal-instruct,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,8,1496,0.12904078954431725,0.7404608294930874
phi-4-multimodal-instruct,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,16,1496,0.1053625369448591,0.7195698924731183
phi-4-multimodal-instruct,supcon,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,32,1496,0.08154332703340948,0.7188940092165899
phi-4-multimodal-instruct,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,1,1496,0.38324781996274365,0.8422119815668202
phi-4-multimodal-instruct,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,2,1496,0.3871370973638903,0.8547465437788018
phi-4-multimodal-instruct,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,4,1496,0.41512599909702547,0.8713978494623655
phi-4-multimodal-instruct,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,8,1496,0.42629960060608757,0.8908141321044547
phi-4-multimodal-instruct,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,16,1496,0.43077708282191535,0.9352380952380952
phi-4-multimodal-instruct,proxy_anchor,,,,,,1496,passed,repope,cal,cal,Diag-kNN-tuned,32,1496,0.5873613588327281,0.9544700460829493
phi-3.5-vision-instruct,bce,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,1,1475,0.20956843116617216,0.8617135207496653
phi-3.5-vision-instruct,bce,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,2,1475,0.14565331668657266,0.8600624721106649
phi-3.5-vision-instruct,bce,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,4,1475,0.13554804907062193,0.8647478804105311
phi-3.5-vision-instruct,bce,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,8,1475,0.12155469428082605,0.8661311914323963
phi-3.5-vision-instruct,bce,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,16,1475,0.12655543102637082,0.8681838464970995
phi-3.5-vision-instruct,bce,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,32,1475,0.13698803016019856,0.8825524319500223
phi-3.5-vision-instruct,supcon,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,1,1475,0.10789456983032863,0.7949576082106202
phi-3.5-vision-instruct,supcon,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,2,1475,0.1047029623164567,0.803525211958947
phi-3.5-vision-instruct,supcon,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,4,1475,0.10000898215910045,0.795136099955377
phi-3.5-vision-instruct,supcon,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,8,1475,0.09744614447040668,0.8049531459170013
phi-3.5-vision-instruct,supcon,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,16,1475,0.10664377986482025,0.8248103525211959
phi-3.5-vision-instruct,supcon,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,32,1475,0.11383449037415058,0.8402052655064703
phi-3.5-vision-instruct,proxy_anchor,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,1,1475,0.37681377583639103,0.9316376617581437
phi-3.5-vision-instruct,proxy_anchor,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,2,1475,0.3752346924091736,0.9333333333333333
phi-3.5-vision-instruct,proxy_anchor,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,4,1475,0.39444853411247865,0.934359660865685
phi-3.5-vision-instruct,proxy_anchor,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,8,1475,0.3942128104357491,0.9310129406514949
phi-3.5-vision-instruct,proxy_anchor,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,16,1475,0.4179516504228741,0.9263275323516287
phi-3.5-vision-instruct,proxy_anchor,,,,,,1475,passed,repope,cal,cal,Diag-kNN-tuned,32,1475,0.36556167659997996,0.9322623828647925
gemma-3-4b-it,bce,,,,,,1438,passed,repope,cal,cal,Diag-kNN-tuned,1,1438,0.1819013426973894,0.7945760829322472
gemma-3-4b-it,bce,,,,,,1438,passed,repope,cal,cal,Diag-kNN-tuned,2,1438,0.18580443347906145,0.8015364679748241
gemma-3-4b-it,bce,,,,,,1438,passed,repope,cal,cal,Diag-kNN-tuned,4,1438,0.18719875522673968,0.8053128470936689
gemma-3-4b-it,bce,,,,,,1438,passed,repope,cal,cal,Diag-kNN-tuned,8,1438,0.19871783145524663,0.8196964087375046
gemma-3-4b-it,bce,,,,,,1438,passed,repope,cal,cal,Diag-kNN-tuned,16,1438,0.20503328017527916,0.8284894483524621
