model,benchmark,protocol,bank_scope,variant,report_path,random_state,accuracy,precision,recall,f1,roc_auc,pr_auc,tpr_at_fpr_0.01,false_positive_rate
InternVL3.5-8B,DASH-B,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,29,0.7058165548098434,0.0,0.0,0.0,0.4806839553635332,0.2553592631135973,0.0,0.0
InternVL3.5-8B,DASH-B,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,13,0.7058165548098434,0.0,0.0,0.0,0.5583625752137319,0.2893308089530184,0.0,0.0
InternVL3.5-8B,DASH-B,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,17,0.7058165548098434,0.0,0.0,0.0,0.5558755926209361,0.288662272116689,0.0,0.0
InternVL3.5-8B,DASH-B,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,19,0.7058165548098434,0.0,0.0,0.0,0.5566482344063949,0.2883060329671457,0.0,0.0
InternVL3.5-8B,DASH-B,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,23,0.7058165548098434,0.0,0.0,0.0,0.5604672541154558,0.2907071894604714,0.0,0.0
InternVL3.5-8B,DASH-B,image_grouped,object,output_logit_margin,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,29,0.7058165548098434,0.0,0.0,0.0,0.5579066228256059,0.2895746607546566,0.0,0.0
InternVL3.5-8B,DASH-B,image_grouped,object,output_chosen_answer_confidence,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,13,0.6938851603281133,0.336734693877551,0.0418250950570342,0.0744081172491544,0.6475213531006436,0.3859767280322141,0.0152091254752851,0.034337031167459
InternVL3.5-8B,DASH-B,image_grouped,object,output_chosen_answer_confidence,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,17,0.6976137211036539,0.3877551020408163,0.0481622306717363,0.0856820744081172,0.6369976238252195,0.3799715912793375,0.008871989860583,0.0316957210776545
InternVL3.5-8B,DASH-B,image_grouped,object,output_chosen_answer_confidence,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,19,0.6964951528709918,0.3711340206185567,0.0456273764258555,0.0812641083521444,0.6280901486833287,0.380180653384707,0.0139416983523447,0.0322239830956154
InternVL3.5-8B,DASH-B,image_grouped,object,output_chosen_answer_confidence,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-dash-b,23,0.6983594332587622,0.3936170212765957,0.0468948035487959,0.0838052095130237,0.6498734246711084,0.3852669598111287,0.0063371356147021,0.0301109350237717
