model,benchmark,bank_type,variant,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper,status,n_rows,split_strategy,feature_source,reference_root,reason
molmo-7b-d-0924,POPE popular,shuffled_object,full_curve,0.8925774307378314,0.8658244043942861,0.9154310364722745,0.384476312083352,0.3128486413326005,0.46130432933580917,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-popular-shuffled_object-object-heldout/popular.parquet,outputs/decisive_round_2026_04/reference_banks_shuffled,
molmo-7b-d-0924,DASH-B,object_conditioned,drift_only,0.795587811176586,0.7763773880210816,0.8137944393917788,0.5721672484411708,0.529693397502618,0.611744079932795,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-dash-b-object/main.parquet,outputs/round2_2026_04/reference_banks_dash_b,
molmo-7b-d-0924,DASH-B,object_conditioned,no_manifold,0.8549137209067507,0.8341271250673951,0.8729297320883719,0.6681499679158731,0.6315909896243407,0.7021870530149031,ok,2682.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/round2_2026_04/reference_banks_dash_b,
molmo-7b-d-0924,DASH-B,object_conditioned,full_curve,0.7794796526265841,0.7590922305519608,0.7982645368766311,0.5440829657525159,0.5012748505448144,0.5804820701234258,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-dash-b-object/main.parquet,outputs/round2_2026_04/reference_banks_dash_b,
molmo-7b-d-0924,DASH-B,shared,drift_only,0.7557325259015467,0.7329644736346483,0.7790438765244345,0.5415271415075235,0.5043361076312828,0.5817801141922705,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-dash-b-shared/main.parquet,outputs/decisive_round_2026_04/reference_banks_dash_b_shared,
molmo-7b-d-0924,DASH-B,shared,no_manifold,0.8770466000157069,0.8563156989512172,0.8958768149555608,0.6865927407468342,0.6528327689580329,0.7196978048750468,ok,2682.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/decisive_round_2026_04/reference_banks_dash_b_shared,
molmo-7b-d-0924,DASH-B,shared,full_curve,0.7570781722176503,0.7341999586849881,0.7798430578675482,0.5453138370815697,0.5076191672362709,0.5855650358959311,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-dash-b-shared/main.parquet,outputs/decisive_round_2026_04/reference_banks_dash_b_shared,
molmo-7b-d-0924,DASH-B,shuffled_object,drift_only,0.6928890610635687,0.6713715183136826,0.7134335428153009,0.49352386454597036,0.44259201528211284,0.5408572446292546,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-dash-b-shuffled_object/main.parquet,outputs/decisive_round_2026_04/reference_banks_dash_b_shuffled,
molmo-7b-d-0924,DASH-B,shuffled_object,no_manifold,0.705038155243632,0.6846265403531362,0.7266113040175926,0.511107389633822,0.46534763367312754,0.5561352684537417,ok,2682.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/decisive_round_2026_04/reference_banks_dash_b_shuffled,
molmo-7b-d-0924,DASH-B,shuffled_object,full_curve,0.6844614477940046,0.6607794292822609,0.7070112722322052,0.5029062642142303,0.4570038963506796,0.5468057946916415,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-dash-b-shuffled_object/main.parquet,outputs/decisive_round_2026_04/reference_banks_dash_b_shuffled,
