model,benchmark,distance_type,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper,status,source_report,split_strategy,n_rows,reason
molmo-7b-d-0924,POPE adversarial,no_manifold,0.7527435180159493,0.7204590406975386,0.7836527402060073,0.1687925163137232,0.13775474597451534,0.20172159894529404,ok,outputs/decisive_round_2026_04/reports/round2-molmo-7b-d-0924-adversarial,row,3000.0,
molmo-7b-d-0924,POPE adversarial,euclidean_pca_residual,0.8596553528708134,0.8148050925832623,0.8984850338089706,0.406015775518374,0.2850371266102294,0.5268730271004229,ok,,row,3000.0,
molmo-7b-d-0924,POPE adversarial,centroid_angular,,,,,,,missing_cache,,,,missing eval cache
molmo-7b-d-0924,POPE adversarial,knn_angular_k10,,,,,,,missing_cache,,,,missing eval cache
molmo-7b-d-0924,POPE adversarial,centroid_euclidean,,,,,,,missing_cache,,,,missing eval cache
molmo-7b-d-0924,RePOPE,full_MIND_saved,0.8740908581707041,0.8493305994249976,0.8962306912429655,0.28439468066988255,0.2241561903643506,0.3448794738954048,ok,outputs/decisive_round_2026_04/reports/round2-molmo-7b-d-0924-repope,row,3000.0,
molmo-7b-d-0924,RePOPE,no_manifold,0.7625842561259408,0.729545516214151,0.7935675808931496,0.13331096128634592,0.10713720073568923,0.16698862327633845,ok,outputs/decisive_round_2026_04/reports/round2-molmo-7b-d-0924-repope,row,3000.0,
molmo-7b-d-0924,RePOPE,euclidean_pca_residual,0.8400705882352941,0.7861923752618974,0.8905648338016758,0.21930478287130112,0.14044107465060746,0.32047232906552875,ok,,row,3000.0,
molmo-7b-d-0924,RePOPE,centroid_angular,0.8073411764705882,0.7379308691948874,0.8675492136096895,0.20007973111220714,0.13188109749450214,0.29642861816424965,ok,,row,3000.0,
molmo-7b-d-0924,RePOPE,knn_angular_k10,0.8520235294117647,0.7997333857968576,0.8964447259410749,0.2579292836447184,0.1686058812028262,0.3717362299789656,ok,,row,3000.0,
molmo-7b-d-0924,RePOPE,centroid_euclidean,0.8032470588235294,0.7320461766676237,0.865902457250342,0.19479546208557763,0.12837643482932573,0.29148014506150244,ok,,row,3000.0,
