epoch,loss,model_alias,objective,negative_budget_ratio,negative_budget_seed
13.0,10.83778603806388,qwen3-vl-8b,proxy_anchor,0.5,20260506
14.0,10.638292159877519,qwen3-vl-8b,proxy_anchor,0.5,20260506
15.0,9.888826747204979,qwen3-vl-8b,proxy_anchor,0.5,20260506
1.0,12.02045322003061,qwen3-vl-8b,proxy_anchor,0.5,20260507
2.0,11.5292368131007,qwen3-vl-8b,proxy_anchor,0.5,20260507
3.0,12.113512395588524,qwen3-vl-8b,proxy_anchor,0.5,20260507
4.0,11.28667321782827,qwen3-vl-8b,proxy_anchor,0.5,20260507
5.0,11.512683870366466,qwen3-vl-8b,proxy_anchor,0.5,20260507
6.0,11.184713120822789,qwen3-vl-8b,proxy_anchor,0.5,20260507
7.0,11.154510080936753,qwen3-vl-8b,proxy_anchor,0.5,20260507
8.0,11.33990805056061,qwen3-vl-8b,proxy_anchor,0.5,20260507
9.0,10.909072178834762,qwen3-vl-8b,proxy_anchor,0.5,20260507
10.0,10.742765362013047,qwen3-vl-8b,proxy_anchor,0.5,20260507
11.0,10.43641598366614,qwen3-vl-8b,proxy_anchor,0.5,20260507
12.0,11.416692134536023,qwen3-vl-8b,proxy_anchor,0.5,20260507
13.0,11.220648336704262,qwen3-vl-8b,proxy_anchor,0.5,20260507
14.0,10.724946084698123,qwen3-vl-8b,proxy_anchor,0.5,20260507
15.0,10.019583503813225,qwen3-vl-8b,proxy_anchor,0.5,20260507
16.0,10.946387749188245,qwen3-vl-8b,proxy_anchor,0.5,20260507
17.0,10.592592292252997,qwen3-vl-8b,proxy_anchor,0.5,20260507
18.0,9.794612669112501,qwen3-vl-8b,proxy_anchor,0.5,20260507
19.0,9.115068791093767,qwen3-vl-8b,proxy_anchor,0.5,20260507
20.0,14.614317273212409,qwen3-vl-8b,proxy_anchor,0.5,20260507
1.0,11.821205756013153,qwen3-vl-8b,proxy_anchor,0.5,20260508
2.0,11.267828586899524,qwen3-vl-8b,proxy_anchor,0.5,20260508
