model_alias,dataset_family,objective,negative_budget_ratio,negative_budget_seed,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
qwen3.5-4b,repope,proxy_anchor,0.5,20260506,1548,128,0.9425589062479584,1073.7340600987739
qwen3.5-4b,pope,proxy_anchor,0.5,20260506,1622,128,0.9331195338413967,917.5397640845845
qwen3.5-4b,dash-b,proxy_anchor,0.5,20260506,361,128,0.9798475036150931,3119.881060039699
qwen3.5-4b,repope,proxy_anchor,0.5,20260507,1548,128,0.9717797219545187,2218.922380059098
qwen3.5-4b,pope,proxy_anchor,0.5,20260507,1622,128,0.9660527060831879,1839.2145750920258
qwen3.5-4b,dash-b,proxy_anchor,0.5,20260507,361,128,0.9907097035883106,6804.181235472342
qwen3.5-4b,repope,proxy_anchor,0.5,20260508,1548,128,0.9695010799080818,2050.768764619645
qwen3.5-4b,pope,proxy_anchor,0.5,20260508,1622,128,0.9622441540893967,1650.4600925252887
qwen3.5-4b,dash-b,proxy_anchor,0.5,20260508,361,128,0.98451426668808,4069.5352274016514
qwen3.5-4b,repope,proxy_anchor,0.25,20260506,1548,128,0.9431345587580112,1084.9351682352367
qwen3.5-4b,pope,proxy_anchor,0.25,20260506,1622,128,0.9296418346259859,870.546934954323
qwen3.5-4b,dash-b,proxy_anchor,0.25,20260506,361,128,0.9713095166600246,2182.036676060708
qwen3.5-4b,repope,proxy_anchor,0.25,20260507,1548,128,0.9570393113806881,1446.6055549552086
qwen3.5-4b,pope,proxy_anchor,0.25,20260507,1622,128,0.9547027625257968,1370.3204386233422
qwen3.5-4b,dash-b,proxy_anchor,0.25,20260507,361,128,0.9958671541859156,15333.8955887925
qwen3.5-4b,repope,proxy_anchor,0.25,20260508,1548,128,0.9545007929332074,1364.0941036899574
qwen3.5-4b,pope,proxy_anchor,0.25,20260508,1622,128,0.9342370793062627,933.6944730695251
qwen3.5-4b,dash-b,proxy_anchor,0.25,20260508,361,128,0.9688866808989669,2009.6437392677165
qwen3.5-9b,repope,proxy_anchor,1.0,20260506,1554,128,0.925679836434081,822.3617797575905
qwen3.5-9b,pope,proxy_anchor,1.0,20260506,1642,128,0.8884078321970552,536.2985482462425
qwen3.5-9b,dash-b,proxy_anchor,1.0,20260506,349,128,0.9718236139614669,2222.428339067514
qwen3.5-9b,repope,proxy_anchor,1.0,20260507,1554,128,0.9732415583004262,2341.8755748720687
